Checklist #, Star Count, Image, Set, Player, Rarity Tier, Country, Supply
076, 0, QmThk8XbnmM3iidSwAXnZadbHhYpWgCGXYXatuviojCf8L, Originals, Victor Moses, Bronze, Nigeria, 78
077, 0, QmY4KJKqYqRuDhwR1rHWbC8UQznUXLSASvcsmjD3JoX4Xf, Originals, Jefferson Farfán, Bronze, Peru, 79
078, 0, QmPovzdPSZrsyjUnkNGDrv8tD89R3JWUQc39e24ajn5jZi, Originals, Mohamed Elneny, Bronze, Egypt, 77
079, 0, QmZfjsZ75zmycH1gsSVeQyQuoM6L9zD9BbU69Ami8xiHpQ, Originals, Marcus Berg, Bronze, Sweden, 78
080, 0, QmXPp4YphUbYBbJ4P1HmHCii1Wq5rmGucrqm8j6eZhMFRx, Originals, Guillermo Ochoa, Bronze, Mexico, 78
081, 0, QmZf2ypPuoWL8SwtgajyMmkokwDQrN4wXKEmw3K519U7tH, Originals, Igor Akinfeev, Bronze, Russia, 78
082, 0, QmYeHz2FvqeGdo5tb5qR6x9UxVBoKqUS3w8qx1kDQwynJV, Originals, Sardar Azmoun, Bronze, Iran, 79
083, 0, QmexE6cZcjCojdYH1QEo7TSciKFiUwGbpvA2JgvgrFAHZe, Originals, Christian Cueva, Bronze, Peru, 78
084, 0, QmPuZC9BwoCJaC82baBYNeN2FMTviEDGB1rmEMfjbrGbnY, Originals, Wahbi Khazri, Bronze, Tunisia, 78
085, 0, QmP4KpjfLsXVmwLQ5rH6oG4URtxbERnaq1a9mrT5jYokys, Originals, Keisuke Honda, Bronze, Japan, 79
086, 0, QmetJN6ffyD4PrAubLnVdiQP1K324PyGpFXcx5tZ3Fo3Nh, Originals, Tim Cahill, Bronze, Australia, 78
087, 0, QmdCCCeYLErYsZKBgDUCgdgxuxMG4pdsK2nu9EUFLKvFCh, Originals, John Obi Mikel, Bronze, Nigeria, 78
