Checklist #,Star Count,Image,Set,Player,Rarity Tier,Country,Supply,JSON
54,0,QmWJQudTho8b3e4HusaeqaP9DoiNzRuo9qS16QEHpSbp9m,Originals,Medhi Benatia,Bronze,Morocco,79,QmV6Mj6B1eB3PqAf6anyEQsLcvArV8SpztMrtJaPxLfUwo
55,0,QmX7U63T4kKBgbj9tAzc8oiRfBjaau4JcVFru6EcaoKx9v,Originals,Timo Werner,Bronze,Germany,78,QmdQgzDaSA4QoTCCC7UGxUaQSBEDVNeHzzhCkCsHvgvrcp
56,0,QmeNphaCcm6NFCsXiQqgcQ3GKPEbQCqXewdBPj4S4cAKAc,Originals,Gylfi Sigurðsson,Bronze,Iceland,76,QmaFc16WdtdzFxMiGsCvrsh2roSYCfdQCqhLhGUPDhscX7
57,0,QmbbfxrJLfkeNKATGAxBcZQyMEJJeM8q3mSWE8XVnGBp5C,Originals,Nemanja Matić,Bronze,Serbia,79,QmWPUxwG584GeWCwdu2DcdcmTwo9rXAbURHxvnjAaMPQm4
58,0,QmTQFxxTvKaaxapigGCanco4vkP76UZ3W2hHy6r1vop7Uv,Originals,Kalidou Koulibaly,Bronze,Senegal,79,QmS66Ho9ixwJ7wAP5vspa5vrmzRAbpmt7gLATfvZZdtLmU
59,0,QmddeqipHvH26gbEEGR5fWidPfNFqoVoT1zDzyGuWcz2QY,Originals,Bernardo Silva,Bronze,Portugal,78,QmZ1xUYD5kKtdH7dpLJZDEAsq45E8GXQ3seXLsbFg1JLGJ
60,0,QmPhoPSqWt4yDp2mLULqLNvh6P8Smi8Krz9w2nKUYLVona,Originals,Vincent Kompany,Bronze,Belgium,78,Qmezxtr5GwLGzmEQehyiqhhVERZgPEiYU97b44w4PcFdYw
61,0,QmaF53SaX43o75WyzgLziFfsD3Q1DunTisbQUGea59LqA2,Originals,João Moutinho,Bronze,Portugal,78,QmTqvTmoMNbh3ZxCijnxRNy71g3281n5uNkpDxZPYkHzDe
62,0,QmdyC7cwDjdxJteRrWZxGsZCx3PTDDAsR85Mfd6bHwiJCq,Originals,Toby Alderweireld,Bronze,Belgium,78,QmYkqo7nucheAUWZ1HhRLxfVipnL2MeBHVwmaEmc8a3Cbz
63,0,QmYVwoAeMGXBpYDWG4oyPKn7BFYpsd9Zjhzt6H7zhbs8J3,Originals,Emil Forsberg,Bronze,Sweden,78,QmQyzNpx2d3h8mQURJrQ6RB29YEBEK31QdhdR7AQEtKpZL
64,0,QmXTYKnPi6DQCCdpD7eaRKTNthoS3PhBYEs5JMAUx4EhfB,Originals,Mario Mandžukić,Bronze,Croatia,78,QmNRJUy3NruCuW6BwXDW6uNgmJgFiNsaR8rorggHHSsPKY
65,0,QmaihzubsWnqnNpPNnrsk62qJvjgar3BCriHXWhQoar1An,Originals,Sergej Milinković-Savić,Bronze,Serbia,78,QmbLRMSzPhjWw75kWY1ViTrb4xvVURZJnJ9HPpxYYdU5Ca
66,0,QmajNxCCWmed5429MgXAbs39JfagKyatFsFDFwEdANpDWa,Originals,Shinji Kagawa,Bronze,Japan,79,QmdLMA1Sv8WU2BAhG4bAxUiasBSWDkH61UuGur6MiQwT9n
67,0,QmPHjWadMdb2atDGLjakJqw5dxF1Sqx1SDN4oZMX1N7pfV,Originals,Granit Xhaka,Bronze,Switzerland,80,QmYGt7DLUJnibe1JFBxnHkDPcwACdtxDxkyAVbW3P6TPxt
68,0,QmV2MFsHYPaBwjiTFtEPsjaYY6KJJDCA4ELvRbv6Cr4Lw9,Originals,Andreas Christensen,Bronze,Denmark,77,QmSaYvGn61mRaxP59Hdtd8vGhMJx27z2Z2g9Ar5ESN91qG
69,0,Qmc9mcLT1nPh35Dc36L8bbUVGcLCqiv3srGuMyur5Nedfd,Originals,Piotr Zieliński,Bronze,Poland,80,QmNtLNtnxeLPxxiXWtRH1Brv5DkL2pBdiAMRiadhWnVGdB
70,0,QmdkAfZepcESYahULMNnRrKspHRhQMQvJgWTC5DuAKgBqy,Originals,Fyodor Smolov,Bronze,Russia,79,QmXoM6KEwhZFunswV2K5He7xKs3xiXLXqEEuSrxmLphGiE
71,0,QmYqpNNR7rVRxcpW8xuVVcENzifx35H8sQTYnUHg9rJQEc,Originals,Xherdan Shaqiri,Bronze,Switzerland,80,QmPcioQqnvaEC9RL6qjbJreF35iRjsNPGdTu9aqFba58p8
72,0,QmVrDgx6aQiBxEFhVmV3vo3mevWU8xzbrh1eXtpNg3PnRA,Originals,Marcus Rashford,Bronze,England,78,QmbRFhBxL1EbuLaMsQzpyhjGcRSrUvrFXtwi1yW7pZjZWq
73,0,QmUnJxaz89Rp9G9B4bWpwYBoyTCpQtc6QSLDyum1gC5BMt,Originals,Javier Hernández,Bronze,Mexico,80,QmfQb4FCwYDdEWhkw28Z2mA1UBuVz14tQ24Zs6KTwxrN6E
74,0,QmedVwEmWU1AvKsYScAiahnzNQdDBCxvz2YGjJPeUrbKFm,Originals,Hirving Lozano,Bronze,Mexico,80,Qma2sLMdc5wDEcz992XjWf1Ls7vkj7zLvopuk6eyfbiJPF
75,0,QmVDAdhKgeCdqh84wWLDQEnRGzycm7aVCCxmdzHU8pAP4S,Originals,Hakim Ziyech,Bronze,Morocco,79,QmVFejgJo9VezhmBSjsGj96GCv7ohknwn3gh9aErHkAtiK
76,0,QmThk8XbnmM3iidSwAXnZadbHhYpWgCGXYXatuviojCf8L,Originals,Victor Moses,Bronze,Nigeria,78,QmWiu2S1YgsHsA5FLN2thK7schfwmvXGqXUw66V8qoF8mm
77,0,QmY4KJKqYqRuDhwR1rHWbC8UQznUXLSASvcsmjD3JoX4Xf,Originals,Jefferson Farfán,Bronze,Peru,79,QmWAn3KVQVYLEkvEvNg3VaYt9gDoWG612W3mUaEty4UPJP
78,0,QmPovzdPSZrsyjUnkNGDrv8tD89R3JWUQc39e24ajn5jZi,Originals,Mohamed Elneny,Bronze,Egypt,77,QmXbPV1inEtNyoRT4RwyPRvSFiHGyDYqEt5uhmk6xg9ZHm
79,0,QmZfjsZ75zmycH1gsSVeQyQuoM6L9zD9BbU69Ami8xiHpQ,Originals,Marcus Berg,Bronze,Sweden,78,QmaMT6g5Fns13jTGqBrnqo4G98Am7toM5Mtdvspv7du9Mu
80,0,QmXPp4YphUbYBbJ4P1HmHCii1Wq5rmGucrqm8j6eZhMFRx,Originals,Guillermo Ochoa,Bronze,Mexico,78,QmZLKqqixqex8jCC6ZW7iWnWsT854YkgmNTYikdyww4Hf6
81,0,QmZf2ypPuoWL8SwtgajyMmkokwDQrN4wXKEmw3K519U7tH,Originals,Igor Akinfeev,Bronze,Russia,78,QmZ4VU5Dhzg4brv5WLLHFYtu5iBNJzbqDXsf1fyBha7kZE
82,0,QmYeHz2FvqeGdo5tb5qR6x9UxVBoKqUS3w8qx1kDQwynJV,Originals,Sardar Azmoun,Bronze,Iran,79,QmS7EnQL8er7uNWHUfgsPBLyR9fFaTxP33j5pfFFXPbWQh
83,0,QmexE6cZcjCojdYH1QEo7TSciKFiUwGbpvA2JgvgrFAHZe,Originals,Christian Cueva,Bronze,Peru,78,QmVh7fZYnGKZMBGPcjBJim5dNYyjFGBf6azcKyFnKExH7f
84,0,QmPuZC9BwoCJaC82baBYNeN2FMTviEDGB1rmEMfjbrGbnY,Originals,Wahbi Khazri,Bronze,Tunisia,78,QmZXK24qfFoQZqAgrN98KL4rAsD3tkH28zqzRts86E275F
85,0,QmP4KpjfLsXVmwLQ5rH6oG4URtxbERnaq1a9mrT5jYokys,Originals,Keisuke Honda,Bronze,Japan,79,QmeoZQ8eTnZbTqf34ZokBUkjaTGNq5H5YdvkDc4VrZa2bo
86,0,QmetJN6ffyD4PrAubLnVdiQP1K324PyGpFXcx5tZ3Fo3Nh,Originals,Tim Cahill,Bronze,Australia,78,QmTiGNP9rb1pgq4R1iBtP9CQTAUsDDGMKHgWLno89VpYV6
87,0,QmdCCCeYLErYsZKBgDUCgdgxuxMG4pdsK2nu9EUFLKvFCh,Originals,John Obi Mikel,Bronze,Nigeria,78,QmShE9Fk8DyqzoBxbn8qDyk5LxFCRaCytd423gpce2Whru
88,0,QmQzpJUy8TNuLDU57A3TSNDiof9xcwQLQpzjo9sMbPJbST,Originals,Ki Sung-yueng,Bronze,South Korea,77,QmQAEKoDfL1uZt9FyjDrTucot1K3s8gw69FFfJtsBFagP3
89,0,QmcyMRkcG4u4ZPvcEiGPD4nBiW2r1ZDJuEcNVQQoYDvj6e,Originals,Bryan Ruiz,Bronze,Costa Rica,80,QmQzoDf8MoaSKpWMEDaxfufcnLzhEZwakwu9SURLhPotNH
90,0,QmcBzj4f2HtkabqhqEqv7rHRSuh6j5LEuKxf2uAUg4g7w4,Originals,Maya Yoshida,Bronze,Japan,77,QmYtDbMQ5Gbr6NNL25Ke4i9eyTsvLfjZ5hePMK2bPTX351
91,0,QmUvptchFigJaXy95bZENzLv6hB4wsUPHpsWZYVy2a2Pt7,Originals,Nawaf Al Abed,Bronze,Saudi Arabia,75,QmbBF4T1s8taT2wrfFUigxwESf2Cu4vsogcvJPKaMjVX4M
